Total Name,,Middle Name,Last Name,Office,District Name,Party,Municipality,County,Primary Win,General Win,You can pick
"DOUGHERTY, KEVIN M",KEVIN,M,DOUGHERTY,JUSTICE OF THE SUPREME COURT ,Statewide,Democratic,PHILADELPHIA,PHILADELPHIA,0,0,3.0
"DONOHUE, CHRISTINE ",CHRISTINE,,DONOHUE,JUSTICE OF THE SUPREME COURT ,Statewide,Democratic,PITTSBURGH,ALLEGHENY,0,0,3.0
"WOODRUFF, DWAYNE  D",DWAYNE,D,WOODRUFF,JUSTICE OF THE SUPREME COURT ,Statewide,Democratic,MCCANDLESS,ALLEGHENY,0,0,3.0
"WOODRUFF, DWAYNE  D",DWAYNE,D,WOODRUFF,JUSTICE OF THE SUPREME COURT ,Statewide,Democratic,MCCANDLESS,ALLEGHENY,0,0,3.0
"LAZARUS, ANNE E ",ANNE,E,LAZARUS,JUSTICE OF THE SUPREME COURT ,Statewide,Democratic,PHILADELPHIA,PHILADELPHIA,0,0,3.0
"WECHT, DAVID",DAVID,,WECHT,JUSTICE OF THE SUPREME COURT ,Statewide,Democratic,INDIANA TOWNSHIP,ALLEGHENY,0,0,3.0
"FORADORA, JOHN HENRY",JOHN,HENRY,FORADORA,JUSTICE OF THE SUPREME COURT ,Statewide,Democratic,BROCKWAY BOROUGH,JEFFERSON,0,0,3.0
"GEORGE, MICHAEL",MICHAEL,,GEORGE,JUSTICE OF THE SUPREME COURT ,Statewide,Republican,CUMBERLAND TWP,ADAMS,0,0,3.0
"COVEY, ANNE",ANNE,,COVEY,JUSTICE OF THE SUPREME COURT ,Statewide,Republican,UPPER MAKEFIELD,BUCKS,0,0,3.0
"OLSON, JUDITH F",JUDITH,F,OLSON,JUSTICE OF THE SUPREME COURT ,Statewide,Republican,FRANKLIN PARK,ALLEGHENY,0,0,3.0
"ALLEN, CHERYL",CHERYL,,ALLEN,JUSTICE OF THE SUPREME COURT ,Statewide,Republican,HAMPTON ,ALLEGHENY,0,0,3.0
"WARREN, REBECCA LEE",REBECCA,LEE,WARREN,JUSTICE OF THE SUPREME COURT ,Statewide,Republican,VALLEY TWP,MONTOUR,0,0,3.0
"STEVENS, CORREALE",CORREALE,,STEVENS,JUSTICE OF THE SUPREME COURT ,Statewide,Republican,DORRANCE TOWNSHIP,LUZERNE,0,0,3.0
"DUBOW, ALICE  B",ALICE,B,DUBOW,JUDGE OF THE SUPERIOR COURT ,Statewide,Democratic,PHILADELPHIA ,PHILADELPHIA,0,0,1.0
"COLVILLE, ROBERT JOHN",ROBERT,JOHN,COLVILLE,JUDGE OF THE SUPERIOR COURT ,Statewide,Democratic,ROSS,ALLEGHENY,0,0,1.0
"GIORDANO, EMIL",EMIL,,GIORDANO,JUDGE OF THE SUPERIOR COURT ,Statewide,Republican,HANOVER TWP,NORTHAMPTON,0,0,1.0
"EAGEN, RICHARDSON TODD ",RICHARDSON,TODD,EAGEN,JUDGE OF THE COMMONWEALTH COURT ,Statewide,Democratic,DUNMORE,LACKAWANNA,0,0,1.0
"WOJCIK, MICHAEL H",MICHAEL,H,WOJCIK,JUDGE OF THE COMMONWEALTH COURT ,Statewide,Democratic,FOX CHAPEL BOROUGH,ALLEGHENY,0,0,1.0
"LALLEY, PAUL N",PAUL,N,LALLEY,JUDGE OF THE COMMONWEALTH COURT ,Statewide,Republican,UPPER ST CLAIR TWP,ALLEGHENY,0,0,1.0
"PAPADEMETRIOU, OURANIA",OURANIA,,PAPADEMETRIOU,JUDGE OF THE COURT OF COMMON PLEAS - PHILADELPHIA,1st Judicial District (Philadelphia County),Democratic,PHILADELPHIA,PHILADELPHIA,0,0,12.0
"WAHL, BETSY JO",BETSY,JO,WAHL,JUDGE OF THE COURT OF COMMON PLEAS - PHILADELPHIA,1st Judicial District (Philadelphia County),Democratic,PHILADELPHIA,PHILADELPHIA,0,0,12.0
"KYRIAKAKIS, ANTHONY GEORGE",ANTHONY,GEORGE,KYRIAKAKIS,JUDGE OF THE COURT OF COMMON PLEAS - PHILADELPHIA,1st Judicial District (Philadelphia County),Democratic,PHILADELPHIA,PHILADELPHIA,0,0,12.0
"KING  II, LEON  A",LEON,A,KING  II,JUDGE OF THE COURT OF COMMON PLEAS - PHILADELPHIA,1st Judicial District (Philadelphia County),Democratic,PHILADELPHIA ,PHILADELPHIA,0,0,12.0
"BERARDINELLI, JAMES F",JAMES,F,BERARDINELLI,JUDGE OF THE COURT OF COMMON PLEAS - PHILADELPHIA,1st Judicial District (Philadelphia County),Democratic,PHILADELPHIA,PHILADELPHIA,0,0,12.0
"TWARDY JR, GEORGE ROBERT",GEORGE,ROBERT,TWARDY JR,JUDGE OF THE COURT OF COMMON PLEAS - PHILADELPHIA,1st Judicial District (Philadelphia County),Democratic,PHILADELPHIA,PHILADELPHIA,0,0,12.0
"FLETMAN, ABBE F.",ABBE,F.,FLETMAN,JUDGE OF THE COURT OF COMMON PLEAS - PHILADELPHIA,1st Judicial District (Philadelphia County),Democratic,PHILADELPHIA,PHILADELPHIA,0,0,12.0
"BRUMBACH, MARISSA JOAN",MARISSA,JOAN,BRUMBACH,JUDGE OF THE COURT OF COMMON PLEAS - PHILADELPHIA,1st Judicial District (Philadelphia County),Democratic,PHILADELPHIA,PHILADELPHIA,0,0,12.0
